Tahun;Bahan Makanan;Makanan Jadi, Minuman, Rokok, dan Tembakau;Perumahan, Air, Listrik, Gas, dan Bahan Bakar;Sandang;Kesehatan;Pendidikan, Rekreasi, dan Olahraga;Transportasi, Komunikasi, dan Jasa Keuangan;Umum
Maret;1.44;1.08;0.99;1.17;0.69;0.09;0.11;0.95
Februari;1.59;0.88;-0.01;0.76;1.56;0.04;0.02;0.65
Januari;2.77;2.02;1.8;2.31;0.72;0.01;0.24;1.77
2007;11.26;6.41;4.88;8.42;4.31;8.83;1.25;6.59
Desember;2.47;0.91;0.63;0.99;0.41;0.12;0.22;1.1
November;0.04;0.43;0.12;1.66;0.26;0.11;-0.27;0.18
Oktober;1.87;0.51;0.21;2.05;0.45;0.21;0.47;0.79
September;1.81;0.45;0.18;1.22;0.44;1.7;0.07;0.8
Agustus;0.79;0.48;0.77;0.49;0.24;3.18;0.04;0.75
Juli;1.35;0.4;0.32;0.61;0.35;2.89;0.05;0.72
Juni;0.47;0.33;0.13;-0.43;0.22;0.03;0.11;0.23
Mei;-0.39;0.47;0.35;0.21;0.18;0.01;0.13;0.1
April;-1.3;0.38;0.26;0.61;0.32;-0.03;0.22;-0.16
Maret;0.16;0.36;0.29;0.41;0.2;0.03;0.09;0.24
Februari;0.84;0.65;0.8;0.56;0.64;0.23;0.03;0.62
Januari;2.68;0.87;0.71;-0.25;0.54;0.1;0.1;1.04
2006;12.94;6.36;4.83;6.84;5.87;8.13;1.02;6.6
Desember;3.12;1.11;0.74;0.13;1.05;0.07;0.1;1.21
November;0.65;0.47;0.29;0.7;0.42;0.03;-0.21;0.34
Oktober;2.17;0.64;0.26;1;0.29;0.1;0.46;0.86
September;0.62;0.13;0.28;-0.13;0.31;1.84;-0.01;0.38
Agustus;-0.34;0.35;0.3;0.35;0.33;4.37;0.01;0.33
Juli;0.99;0.31;0.21;0.36;0.06;0.69;0.08;0.45
Juni;1.12;0.26;0.32;-0.08;0.27;0.25;0.1;0.45
Mei;0.28;0.3;0.3;2.03;0.57;0.07;0.17;0.37
April;-0.85;0.43;0.42;0.7;0.58;0.09;0.07;0.05
Maret;-0.88;0.58;0.36;0.15;0.39;0.12;0.13;0.03
Februari;1.18;0.65;0.55;0.72;0.4;-0.28;0.16;0.58
Januari;4.29;0.94;0.7;0.73;1.06;0.2;-0.05;1.36
2005;13.91;13.71;13.94;6.92;6.13;8.24;44.75;17.11
Desember;-1.34;0.64;0.35;0.8;0.59;-0.02;0.04;-0.04
November;2.47;2.06;0.64;0.33;0.59;0.29;0.53;1.31
Oktober;7.24;3.21;7.4;1.84;0.9;1.4;28.5;8.7
September;0.41;1.16;0.48;1.18;0.86;1.43;0.41;0.69
Agustus;0.14;0.51;0.51;0.43;0.47;3.29;0.09;0.55
Juli;3.07;0.44;0.31;0.55;0.31;0.95;0.04;0.78
Juni;0.73;1.17;0.25;0.4;0.32;0.16;0.24;0.5
Mei;0.13;0.23;0.36;0.16;0.59;0.04;0.04;0.21
April;-0.21;0.57;0.61;0.33;0.3;0.12;0.44;0.34
Maret;0.12;1.62;0.56;0.64;0.59;0.29;10.03;1.91
Februari;-1.46;0.54;0.38;0.04;0.18;0.02;0.1;-0.17
Januari;3.11;0.8;1.48;0.03;0.22;0.07;0.39;1.43
2004;6.38;4.85;7.4;4.87;4.75;10.31;5.84;6.4
Desember;2.37;0.92;0.89;0.58;0.73;0.04;0.04;1.04
November;2.29;0.67;0.25;1.29;0.2;0.04;0.48;0.89
Oktober;1.31;0.29;0.29;0.59;0.13;1.27;0.04;0.56
September;-1.36;0.18;0.45;0.3;0.16;2.02;0.04;0.02
Agustus;-2.13;0.35;0.65;0.24;0.1;5.1;0.4;0.09
Juli;0.43;0.23;0.51;0.21;0.3;1;0.03;0.39
Juni;0.97;0.15;0.55;0.63;0.27;0.08;0.07;0.48
Mei;0.55;0.21;0.62;0.02;0.43;0.11;3.88;0.88
April;1.78;0.32;1.23;0.24;0.78;0.11;0.44;0.97
Maret;0.34;0.38;0.67;0.18;1.1;0.15;0.18;0.36
Februari;-1.44;0.7;0.64;0.03;0.04;-0.02;0.12;-0.02
Januari;1.42;0.36;0.42;0.47;0.41;0.06;0.04;0.57
2003;-1.72;6.24;9.21;7.09;5.67;11.71;4.1;5.06
Desember;2.13;1.02;0.28;1.67;0.35;0.04;0.03;0.94
November;2.24;0.32;0.42;2.29;0.16;-0.03;1.06;1.01
Oktober;1.78;0.03;0.3;0.25;0.3;0.13;0.03;0.55
September;-0.52;0.34;1.03;0.64;0.63;1.62;0.05;0.36
Agustus;0.15;-0.11;0.61;0.28;0.23;7.82;0.09;0.84
Juli;-0.72;-0.22;0.38;0.22;0.26;1.51;0.05;0.03
Juni;-0.82;0.18;0.91;0.29;0.19;0.15;0.13;0.09
Mei;-0.28;0.01;0.76;0.35;0.81;0;0.03;0.21
April;-1.15;1.41;0.16;-0.64;0.32;0.27;1.31;0.15
Maret;-2.26;0.4;1.07;-0.05;0.84;-0.13;0.05;-0.23
Februari;-0.62;0.77;0.64;0.64;0.4;0;0.08;0.2
Januari;-1.54;1.95;2.31;0.96;1.05;0.02;1.03;0.8
2002;9.13;9.18;12.71;2.69;5.63;10.85;15.52;10.03
Desember;2.42;1.01;1.05;0.59;0.27;0.11;0.65;1.2
November;5.03;1.68;0.71;0.9;0.15;0.06;0.17;1.85
Oktober;0.5;1.03;0.4;0.37;0.24;0.23;0.63;0.54
September;0.36;0.32;1.07;0.18;0.28;1.92;-0.39;0.53
Agustus;-0.53;0.15;0.8;0.18;0.52;2.54;-0.09;0.29
Juli;-0.18;0.61;0.91;0.31;0.51;4.5;0.88;0.82
Juni;0;0;0.96;-0.24;0.42;-0.16;2.09;0.36
Mei;0.58;0.07;0.78;-0.05;0.67;0.28;3.4;0.8
April;-1.91;0.23;0.43;-0.09;0.5;0.02;0.88;-0.24
Maret;-2.82;0.18;0.86;-0.13;0.59;0.33;4.47;-0.02
Februari;3.11;0.8;1.67;0.34;0.59;0.4;1.16;1.5
Januari;2.74;2.77;2.4;0.3;0.74;0.21;0.77;1.99
2001;12.03;14.48;13.59;8.14;8.92;11.9;14.16;12.55
Desember;2.92;2.34;1.22;1.12;0.28;0.25;0.6;1.62
November;4.81;0.74;1.06;1.12;0.36;0.09;0.07;1.71
Oktober;1.16;0.46;0.42;1.95;0.27;0.29;0.11;0.68
